accession	target_id	is_query_self	full_evalue	full_score	full_bias	domain_rows	reported_domain_count	best_domain_evalue	best_domain_score	query_length	target_length	query_union_aligned_residues	target_union_aligned_residues	query_coverage	target_coverage	reviewed	entry_name	protein_names	gene_names	organism	organism_id	metadata_length
A0A5S4H644	tr|A0A5S4H644|A0A5S4H644_9ACTN	no	2e-30	104.1	0.0	1	1	2.5e-30	103.8	251	276	187	185	0.7450	0.6703	unreviewed	A0A5S4H644_9ACTN	SAM-dependent chlorinase/fluorinase	ETD96_11875	Actinomadura geliboluensis	882440	276
A0A327PI60	tr|A0A327PI60|A0A327PI60_9BACT	no	2e-30	104.1	0.2	1	1	2.4e-30	103.8	251	256	185	180	0.7371	0.7031	unreviewed	A0A327PI60_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	LV83_01185	Algoriphagus yeomjeoni	291403	256
A0A4Q7VI56	tr|A0A4Q7VI56|A0A4Q7VI56_9BACT	no	2e-30	104.1	0.0	1	1	2.7e-30	103.6	251	262	189	186	0.7530	0.7099	unreviewed	A0A4Q7VI56_9BACT	SAM-dependent chlorinase/fluorinase	EV201_0448	Ancylomarina subtilis	1639035	262
A0ABW1WB42	tr|A0ABW1WB42|A0ABW1WB42_9BACL	no	2e-30	104.1	0.0	1	1	2.6e-30	103.7	251	279	186	193	0.7410	0.6918	unreviewed	A0ABW1WB42_9BACL	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFP7A_03950	Sporolactobacillus kofuensis	269672	279
A0A1X7J544	tr|A0A1X7J544|A0A1X7J544_9SPHI	no	2e-30	104.1	0.1	1	1	2.6e-30	103.7	251	261	185	182	0.7371	0.6973	unreviewed	A0A1X7J544_9SPHI	Uncharacterized protein	SAMN05660862_1468	Sphingobacterium psychroaquaticum	561061	261
V4RI29	tr|V4RI29|V4RI29_9CAUL	no	2e-30	104.1	0.3	1	1	2.8e-30	103.6	251	317	176	176	0.7012	0.5552	unreviewed	V4RI29_9CAUL	DNA-directed RNA polymerase subunit delta	ABENE_11115	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	1121022	317
A0ABT4RBY0	tr|A0ABT4RBY0|A0ABT4RBY0_9ACTN	no	2e-30	104.1	0.0	1	1	2.2e-30	104.0	251	240	188	181	0.7490	0.7542	unreviewed	A0ABT4RBY0_9ACTN	SAM-dependent chlorinase/fluorinase	OJ962_00880	Solirubrobacter deserti	2282478	240
A0A3D9HXY3	tr|A0A3D9HXY3|A0A3D9HXY3_9PROT	no	2e-30	104.1	0.0	1	1	2.3e-30	103.9	251	244	188	180	0.7490	0.7377	unreviewed	A0A3D9HXY3_9PROT	SAM-dependent chlorinase/fluorinase	DFP90_1011165	Aestuariispira insulae	1461337	244
A0A1M6EIN6	tr|A0A1M6EIN6|A0A1M6EIN6_9FLAO	no	2.1e-30	104.0	0.1	1	1	2.9e-30	103.6	251	276	185	184	0.7371	0.6667	unreviewed	A0A1M6EIN6_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN05443429_105119	Cruoricaptor ignavus	1118202	276
A0A1I2MVQ0	tr|A0A1I2MVQ0|A0A1I2MVQ0_9EURY	no	2.1e-30	104.0	0.0	1	1	3e-30	103.5	251	259	246	254	0.9801	0.9807	unreviewed	A0A1I2MVQ0_9EURY	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN04488063_0847	Halopelagius inordinatus	553467	259
A0A1G6Q7V6	tr|A0A1G6Q7V6|A0A1G6Q7V6_9PSEU	no	2.1e-30	104.0	0.0	1	1	2.5e-30	103.8	251	277	242	249	0.9641	0.8989	unreviewed	A0A1G6Q7V6_9PSEU	SAM-dependent chlorinase/fluorinase	SAMN05216174_105145	Actinokineospora iranica	1271860	277
A0A1I1QU17	tr|A0A1I1QU17|A0A1I1QU17_9FLAO	no	2.1e-30	104.0	0.5	1	1	2.9e-30	103.6	251	296	187	185	0.7450	0.6250	unreviewed	A0A1I1QU17_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN04487987_107160	Algibacter pectinivorans	870482	296
A0A2K9PLJ6	tr|A0A2K9PLJ6|A0A2K9PLJ6_9FLAO	no	2.2e-30	104.0	1.0	1	1	2.8e-30	103.6	251	277	186	184	0.7410	0.6643	unreviewed	A0A2K9PLJ6_9FLAO	SAM-dependent chlorinase/fluorinase	C1H87_04140	Flavivirga eckloniae	1803846	277
A0A2W7R7K2	tr|A0A2W7R7K2|A0A2W7R7K2_9BACT	no	2.2e-30	103.9	0.2	1	1	2.5e-30	103.8	251	256	185	180	0.7371	0.7031	unreviewed	A0A2W7R7K2_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	LV85_02805	Algoriphagus chordae	237019	256
A0A2K1DX57	tr|A0A2K1DX57|A0A2K1DX57_9FLAO	no	2.2e-30	103.9	1.5	1	1	2.6e-30	103.7	251	278	189	187	0.7530	0.6727	unreviewed	A0A2K1DX57_9FLAO	SAM-dependent chlorinase/fluorinase	C1T31_10535	Hanstruepera neustonica	1445657	278
A0A2N8LAW6	tr|A0A2N8LAW6|A0A2N8LAW6_9STRE	no	2.3e-30	103.9	0.1	1	1	2.8e-30	103.6	251	280	190	197	0.7570	0.7036	unreviewed	A0A2N8LAW6_9STRE	DNA-directed RNA polymerase subunit delta	AT575_07200	Streptococcus penaeicida	1765960	280
A0A0R3KNN7	tr|A0A0R3KNN7|A0A0R3KNN7_9BRAD	no	2.3e-30	103.9	0.0	1	1	3.1e-30	103.4	251	242	184	174	0.7331	0.7190	unreviewed	A0A0R3KNN7_9BRAD	SAM-dependent chlorinase/fluorinase	CP49_38155	Bradyrhizobium valentinum	1518501	242
A0A1H4G2Z8	tr|A0A1H4G2Z8|A0A1H4G2Z8_9FLAO	no	2.3e-30	103.9	0.1	1	1	3.1e-30	103.4	251	276	189	187	0.7530	0.6775	unreviewed	A0A1H4G2Z8_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN05443667_11615	Flavobacterium gillisiae	150146	276
A0ABS8EMY5	tr|A0ABS8EMY5|A0ABS8EMY5_9FLAO	no	2.3e-30	103.9	0.6	1	1	3e-30	103.5	251	278	185	183	0.7371	0.6583	unreviewed	A0ABS8EMY5_9FLAO	SAM-dependent chlorinase/fluorinase	J1C55_08245	Winogradskyella immobilis	2816852	278
A0ABU4XH97	tr|A0ABU4XH97|A0ABU4XH97_9HYPH	no	2.3e-30	103.9	0.0	1	1	3e-30	103.5	251	239	184	174	0.7331	0.7280	unreviewed	A0ABU4XH97_9HYPH	SAM-dependent chlorinase/fluorinase	RFM27_15115	Mesorhizobium dulcispinae	3072316	239
A0ABX7LZZ6	tr|A0ABX7LZZ6|A0ABX7LZZ6_TREMD	no	2.3e-30	103.9	0.0	1	1	2.7e-30	103.6	251	308	185	190	0.7371	0.6169	unreviewed	A0ABX7LZZ6_TREMD	DNA-directed RNA polymerase subunit delta	DWB79_07635	Treponema medium	58231	308
A0ABV8AK51	tr|A0ABV8AK51|A0ABV8AK51_9FLAO	no	2.3e-30	103.9	0.4	1	1	3e-30	103.5	251	278	185	183	0.7371	0.6583	unreviewed	A0ABV8AK51_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFOSX_12935	Winogradskyella maritima	1517766	278
A0ABW5YTW6	tr|A0ABW5YTW6|A0ABW5YTW6_9SPHI	no	2.3e-30	103.9	0.1	1	1	3e-30	103.5	251	262	185	182	0.7371	0.6947	unreviewed	A0ABW5YTW6_9SPHI	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFS6I_04565	Sphingobacterium anhuiense	493780	262
A0A1G5R1T0	tr|A0A1G5R1T0|A0A1G5R1T0_9GAMM	no	2.3e-30	103.9	0.0	1	1	3.7e-30	103.2	251	245	245	237	0.9761	0.9673	unreviewed	A0A1G5R1T0_9GAMM	Adenosyl-chloride synthase	SAMN03097708_03243	Thiohalomonas denitrificans	415747	245
A0A1D8P686	tr|A0A1D8P686|A0A1D8P686_9FLAO	no	2.4e-30	103.8	0.8	1	1	3.1e-30	103.5	251	282	185	183	0.7371	0.6489	unreviewed	A0A1D8P686_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	LPB138_04860	Urechidicola croceus	1850246	282
A0A2K1G159	tr|A0A2K1G159|A0A2K1G159_9PROT	no	2.4e-30	103.8	0.0	1	1	3.1e-30	103.4	251	242	185	175	0.7371	0.7231	unreviewed	A0A2K1G159_9PROT	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACJ41P_04060	Azospirillum argentinense	2970906	242
G5JUZ6	tr|G5JUZ6|G5JUZ6_9STRE	no	2.4e-30	103.8	0.1	1	1	3e-30	103.5	251	281	186	193	0.7410	0.6868	unreviewed	G5JUZ6_9STRE	S-adenosyl-l-methionine hydroxide adenosyltransferase	STRMA_1381	Streptococcus macacae NCTC 11558	764298	281
A0A2S2CU03	tr|A0A2S2CU03|A0A2S2CU03_9PROT	no	2.4e-30	103.8	0.0	1	1	3.3e-30	103.4	251	243	185	175	0.7371	0.7202	unreviewed	A0A2S2CU03_9PROT	SAM-dependent chlorinase/fluorinase	DEW08_18125	Azospirillum thermophilum	2202148	243
A0A7X6S1N1	tr|A0A7X6S1N1|A0A7X6S1N1_9STRE	no	2.4e-30	103.8	0.1	1	1	3e-30	103.5	251	280	188	195	0.7490	0.6964	unreviewed	A0A7X6S1N1_9STRE	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	HF992_05705	Streptococcus ovuberis	1936207	280
A0A7W7IH76	tr|A0A7W7IH76|A0A7W7IH76_9ACTN	no	2.4e-30	103.8	0.0	1	1	3.1e-30	103.5	251	271	182	180	0.7251	0.6642	unreviewed	A0A7W7IH76_9ACTN	SAM-dependent chlorinase/fluorinase	GCM10009546_43440	Actinomadura livida	79909	271
A0A1E8GQH0	tr|A0A1E8GQH0|A0A1E8GQH0_9LACT	no	2.4e-30	103.8	0.0	1	1	2.9e-30	103.6	251	286	187	194	0.7450	0.6783	unreviewed	A0A1E8GQH0_9LACT	DNA-directed RNA polymerase subunit delta	BG261_01130	Floricoccus tropicus	1859473	286
A0A1I4WRJ3	tr|A0A1I4WRJ3|A0A1I4WRJ3_9FLAO	no	2.4e-30	103.8	0.0	1	1	3.4e-30	103.3	251	275	186	184	0.7410	0.6691	unreviewed	A0A1I4WRJ3_9FLAO	Adenosyl-chloride synthase	SAMN05444143_10764	Flavobacterium succinicans	29536	275
A0A0A8UXU9	tr|A0A0A8UXU9|A0A0A8UXU9_LEGHA	no	2.4e-30	103.8	0.1	1	1	3.3e-30	103.4	251	303	184	190	0.7331	0.6271	unreviewed	A0A0A8UXU9_LEGHA	Adenosyl-chloride synthase	LHA_2558	Legionella hackeliae	449	303
A0A363NNQ1	tr|A0A363NNQ1|A0A363NNQ1_9SPHI	no	2.5e-30	103.8	0.1	1	1	2.9e-30	103.6	251	262	186	183	0.7410	0.6985	unreviewed	A0A363NNQ1_9SPHI	S-adenosyl-l-methionine hydroxide adenosyltransferase	DCO56_22960	Sphingobacterium athyrii	2152717	262
A0A420VVG8	tr|A0A420VVG8|A0A420VVG8_9SPHI	no	2.5e-30	103.8	0.1	1	1	2.9e-30	103.6	251	262	186	183	0.7410	0.6985	unreviewed	A0A420VVG8_9SPHI	SAM-dependent chlorinase/fluorinase	D7322_17705	Sphingobacterium puteale	2420510	262
A0A239SNF2	tr|A0A239SNF2|A0A239SNF2_9STRE	no	2.5e-30	103.8	0.1	1	1	3.2e-30	103.4	251	280	188	195	0.7490	0.6964	unreviewed	A0A239SNF2_9STRE	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMEA4412692_00463	Streptococcus merionis	400065	280
A0AAP2DUI4	tr|A0AAP2DUI4|A0AAP2DUI4_9BACT	no	2.5e-30	103.8	0.1	1	1	3.8e-30	103.2	251	257	238	242	0.9482	0.9416	unreviewed	A0AAP2DUI4_9BACT	SAM-dependent chlorinase/fluorinase	KK062_05460	Dawidia cretensis	2782350	257
A0A9W6UGG3	tr|A0A9W6UGG3|A0A9W6UGG3_9ACTN	no	2.5e-30	103.8	0.0	1	1	3.3e-30	103.4	251	273	181	183	0.7211	0.6703	unreviewed	A0A9W6UGG3_9ACTN	SAM-dependent chlorinase/fluorinase	Nans01_17670	Nocardiopsis ansamitocini	1670832	273
A0ABY3AAZ1	tr|A0ABY3AAZ1|A0ABY3AAZ1_9FLAO	no	2.5e-30	103.7	0.7	1	1	3.4e-30	103.3	251	276	185	183	0.7371	0.6630	unreviewed	A0ABY3AAZ1_9FLAO	Adenosyl-chloride synthase	GQ41_1916	Arenibacter algicola	616991	276
D8J8I9	tr|D8J8I9|D8J8I9_HALJB	no	2.5e-30	103.7	0.0	1	1	2.9e-30	103.5	251	257	243	251	0.9681	0.9767	unreviewed	D8J8I9_HALJB	NAD operon protein	C497_09498	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	795797	257
A0A1I5EFF9	tr|A0A1I5EFF9|A0A1I5EFF9_9FIRM	no	2.6e-30	103.7	0.1	1	1	3.7e-30	103.2	251	336	190	197	0.7570	0.5863	unreviewed	A0A1I5EFF9_9FIRM	DNA-directed RNA polymerase subunit delta	SAMN04489757_10925	Anaerocolumna aminovalerica	1527	336
A0A5B7TSH3	tr|A0A5B7TSH3|A0A5B7TSH3_9FLAO	no	2.6e-30	103.7	0.5	1	1	3.5e-30	103.3	251	272	185	179	0.7371	0.6581	unreviewed	A0A5B7TSH3_9FLAO	SAM-dependent chlorinase/fluorinase	FF125_12180	Aureibaculum algae	2584122	272
A0A0P7AZV2	tr|A0A0P7AZV2|A0A0P7AZV2_9FLAO	no	2.6e-30	103.7	0.0	1	1	3.1e-30	103.5	251	276	197	193	0.7849	0.6993	unreviewed	A0A0P7AZV2_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	I595_755	Croceitalea dokdonensis DOKDO 023	1300341	276
A0ABT3RP57	tr|A0ABT3RP57|A0ABT3RP57_9BACT	no	2.6e-30	103.7	0.0	1	1	3.9e-30	103.1	251	258	236	238	0.9402	0.9225	unreviewed	A0ABT3RP57_9BACT	SAM-dependent chlorinase/fluorinase	OO013_06820	Mangrovivirga halotolerans	2993936	258
A0A1I3FTG1	tr|A0A1I3FTG1|A0A1I3FTG1_9SPHI	no	2.6e-30	103.7	0.6	1	1	3.3e-30	103.4	251	274	185	181	0.7371	0.6606	unreviewed	A0A1I3FTG1_9SPHI	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN05444682_102479	Parapedobacter indicus	1477437	274
A0ABS7SXH9	tr|A0ABS7SXH9|A0ABS7SXH9_9FIRM	no	2.6e-30	103.7	0.1	1	1	3.5e-30	103.3	251	278	217	224	0.8645	0.8058	unreviewed	A0ABS7SXH9_9FIRM	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	K8P03_02925	Anaerococcus murdochii	411577	278
A0ABV6QBU5	tr|A0ABV6QBU5|A0ABV6QBU5_9FLAO	no	2.6e-30	103.7	1.1	1	1	3.5e-30	103.3	251	283	185	183	0.7371	0.6466	unreviewed	A0ABV6QBU5_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFFGA_09860	Winogradskyella pulchriflava	1110688	283
A0ABY7LZT8	tr|A0ABY7LZT8|A0ABY7LZT8_STRAY	no	2.6e-30	103.7	0.1	1	1	3.3e-30	103.4	251	282	184	191	0.7331	0.6773	unreviewed	A0ABY7LZT8_STRAY	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	O6R09_07565	Streptococcus alactolyticus	29389	282
A0ABP6WX55	tr|A0ABP6WX55|A0ABP6WX55_9PSEU	no	2.7e-30	103.6	0.0	1	1	4.1e-30	103.1	251	264	178	174	0.7092	0.6591	unreviewed	A0ABP6WX55_9PSEU	SAM-dependent chlorinase/fluorinase	GCM10022222_47060	Amycolatopsis ultiminotia	543629	264
A0A934UMK5	tr|A0A934UMK5|A0A934UMK5_9SPHI	no	2.7e-30	103.6	0.3	1	1	3.4e-30	103.3	251	258	185	181	0.7371	0.7016	unreviewed	A0A934UMK5_9SPHI	SAM-dependent chlorinase/fluorinase	I5M19_09255	Mucilaginibacter segetis	2793071	258
A0A967AI45	tr|A0A967AI45|A0A967AI45_9FLAO	no	2.7e-30	103.6	0.4	1	1	4.2e-30	103.0	251	276	199	198	0.7928	0.7174	unreviewed	A0A967AI45_9FLAO	SAM-dependent chlorinase/fluorinase	G7034_05860	Psychroflexus maritimus	2714865	276
A0AAE3ENN9	tr|A0AAE3ENN9|A0AAE3ENN9_9FLAO	no	2.7e-30	103.6	0.5	1	1	3.7e-30	103.2	251	278	185	183	0.7371	0.6583	unreviewed	A0AAE3ENN9_9FLAO	SAM-dependent chlorinase/fluorinase	L3X37_07225	Wocania arenilitoris	2044858	278
A0A521BB53	tr|A0A521BB53|A0A521BB53_9SPHI	no	2.8e-30	103.6	0.1	1	1	3.2e-30	103.4	251	260	193	189	0.7689	0.7269	unreviewed	A0A521BB53_9SPHI	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN06265350_10253	Solitalea koreensis	543615	260
A0ABY4N8S5	tr|A0ABY4N8S5|A0ABY4N8S5_9MICO	no	2.8e-30	103.6	0.0	1	1	3.9e-30	103.1	251	299	192	199	0.7649	0.6656	unreviewed	A0ABY4N8S5_9MICO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	M4486_18555	Brachybacterium kimchii	2942909	299
A0A2N3HVD8	tr|A0A2N3HVD8|A0A2N3HVD8_9BACT	no	2.8e-30	103.6	0.0	1	1	4.2e-30	103.0	251	262	188	186	0.7490	0.7099	unreviewed	A0A2N3HVD8_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	BZG02_13880	Labilibaculum filiforme	1940526	262
A0A897MUW0	tr|A0A897MUW0|A0A897MUW0_9EURY	no	2.8e-30	103.6	0.0	1	1	3.3e-30	103.4	251	253	245	249	0.9761	0.9842	unreviewed	A0A897MUW0_9EURY	S-adenosyl-l-methionine hydroxide adenosyltransferase	AArcS_2612	Natranaeroarchaeum sulfidigenes	2784880	253
A0A1M5AXG9	tr|A0A1M5AXG9|A0A1M5AXG9_9FLAO	no	2.9e-30	103.6	0.6	1	1	3.9e-30	103.1	251	276	186	184	0.7410	0.6667	unreviewed	A0A1M5AXG9_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN03080594_103426	Arenibacter palladensis	237373	276
B9DTI7	tr|B9DTI7|B9DTI7_STRU0	no	2.9e-30	103.6	0.1	1	1	3.6e-30	103.3	251	281	190	197	0.7570	0.7011	unreviewed	B9DTI7_STRU0	DNA-directed RNA polymerase subunit delta	SUB0314	Streptococcus uberis (strain ATCC BAA-854 / 0140J)	218495	281
A0A4Y9QKW5	tr|A0A4Y9QKW5|A0A4Y9QKW5_9BACT	no	2.9e-30	103.6	0.1	1	1	3.2e-30	103.4	251	256	185	180	0.7371	0.7031	unreviewed	A0A4Y9QKW5_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	E4S40_13820	Algoriphagus kandeliae	2562278	256
A0A1M5TWW4	tr|A0A1M5TWW4|A0A1M5TWW4_9BACT	no	2.9e-30	103.5	0.0	1	1	3.7e-30	103.2	251	257	241	245	0.9602	0.9533	unreviewed	A0A1M5TWW4_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN04488109_4326	Chryseolinea serpens	947013	257
A0A372JD30	tr|A0A372JD30|A0A372JD30_9ACTN	no	3e-30	103.5	0.0	1	1	4e-30	103.1	251	270	182	181	0.7251	0.6704	unreviewed	A0A372JD30_9ACTN	SAM-dependent chlorinase/fluorinase	DZF91_30425	Actinomadura logoneensis	2293572	270
K4IEA7	tr|K4IEA7|K4IEA7_PSYTT	no	3e-30	103.5	0.4	1	1	5.5e-30	102.6	251	276	185	183	0.7371	0.6630	unreviewed	K4IEA7_PSYTT	S-adenosyl-L-methionine hydroxide adenosyltransferase	P700755_000403	Psychroflexus torquis (strain ATCC 700755 / CIP 106069 / ACAM 623)	313595	276
A0ABY1PK92	tr|A0ABY1PK92|A0ABY1PK92_9BACT	no	3.1e-30	103.5	0.1	1	1	3.8e-30	103.2	251	256	185	180	0.7371	0.7031	unreviewed	A0ABY1PK92_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN06265367_11172	Algoriphagus winogradskyi	237017	256
A6GYJ7	tr|A6GYJ7|A6GYJ7_FLAPJ	no	3.1e-30	103.5	0.1	1	1	5e-30	102.8	251	276	194	190	0.7729	0.6884	unreviewed	A6GYJ7_FLAPJ	Uncharacterized protein	fjo14 FP1082	Flavobacterium psychrophilum (strain ATCC 49511 / DSM 21280 / CIP 103535 / JIP02/86)	402612	276
A0A0U2XEW7	tr|A0A0U2XEW7|A0A0U2XEW7_9ENTE	no	3.1e-30	103.5	0.0	1	1	3.7e-30	103.2	251	285	209	216	0.8327	0.7579	unreviewed	A0A0U2XEW7_9ENTE	DNA-directed RNA polymerase subunit delta	ATZ35_09485	Enterococcus rotai	118060	285
A0A0X3AQ78	tr|A0A0X3AQ78|A0A0X3AQ78_9FLAO	no	3.1e-30	103.4	0.4	1	1	4.1e-30	103.1	251	274	188	186	0.7490	0.6788	unreviewed	A0A0X3AQ78_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	Ga0061079_1075	Apibacter mensalis	1586267	274
A0AA41FZD7	tr|A0AA41FZD7|A0AA41FZD7_9EURY	no	3.2e-30	103.4	0.0	1	1	3.6e-30	103.2	251	257	244	252	0.9721	0.9805	unreviewed	A0AA41FZD7_9EURY	SAM-dependent chlorinase/fluorinase	KTS37_06500	Haloarcula salina	1429914	257
A0ABW3JUP2	tr|A0ABW3JUP2|A0ABW3JUP2_9FLAO	no	3.2e-30	103.4	0.5	1	1	4.1e-30	103.1	251	285	185	183	0.7371	0.6421	unreviewed	A0ABW3JUP2_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFQ1U_09975	Tenacibaculum geojense	915352	285
A0A1H9QL79	tr|A0A1H9QL79|A0A1H9QL79_9EURY	no	3.2e-30	103.4	0.0	2	2	5e-15	53.7	251	279	223	226	0.8884	0.8100	unreviewed	A0A1H9QL79_9EURY	NAD operon protein	SAMN04489841_4213	Natrinema salaciae	1186196	279
A0ABT2QJK4	tr|A0ABT2QJK4|A0ABT2QJK4_9EURY	no	3.3e-30	103.4	0.0	1	1	4.2e-30	103.0	251	259	245	254	0.9761	0.9807	unreviewed	A0ABT2QJK4_9EURY	SAM-dependent chlorinase/fluorinase	OB955_20610	Natronoglomus mannanivorans	2979990	259
A0A5M7B2C0	tr|A0A5M7B2C0|A0A5M7B2C0_9FLAO	no	3.3e-30	103.4	1.1	1	1	3.8e-30	103.2	251	296	187	185	0.7450	0.6250	unreviewed	A0A5M7B2C0_9FLAO	SAM-dependent chlorinase/fluorinase	FPF71_12825	Algibacter amylolyticus	1608400	296
A0A364NW20	tr|A0A364NW20|A0A364NW20_9PROT	no	3.3e-30	103.4	0.0	1	1	3.6e-30	103.2	251	240	186	177	0.7410	0.7375	unreviewed	A0A364NW20_9PROT	SAM-dependent chlorinase/fluorinase	CU669_14670	Paramagnetospirillum kuznetsovii	2053833	240
A0ABY9Y1N5	tr|A0ABY9Y1N5|A0ABY9Y1N5_9FLAO	no	3.4e-30	103.3	0.4	1	1	4.5e-30	102.9	251	297	186	184	0.7410	0.6195	unreviewed	A0ABY9Y1N5_9FLAO	SAM-dependent chlorinase/fluorinase	RHP49_12995	Thalassobellus suaedae	3074124	297
R2P817	tr|R2P817|R2P817_9ENTE	no	3.4e-30	103.3	0.0	1	1	4.4e-30	103.0	251	279	190	197	0.7570	0.7061	unreviewed	R2P817_9ENTE	DNA-directed RNA polymerase subunit delta	I585_04139	Enterococcus malodoratus ATCC 43197	1158601	279
A0A7Y9EFY1	tr|A0A7Y9EFY1|A0A7Y9EFY1_9ACTN	no	3.4e-30	103.3	0.0	1	1	4.3e-30	103.0	251	276	189	187	0.7530	0.6775	unreviewed	A0A7Y9EFY1_9ACTN	SAM-dependent chlorinase/fluorinase	BJY14_002900	Actinomadura luteofluorescens	46163	276
A0A0D7W6F3	tr|A0A0D7W6F3|A0A0D7W6F3_9FLAO	no	3.4e-30	103.3	0.7	1	1	4.9e-30	102.8	251	297	185	183	0.7371	0.6162	unreviewed	A0A0D7W6F3_9FLAO	SAM-dependent chlorinase/fluorinase	PK35_00045	Neotamlana nanhaiensis	1382798	297
A0ABV2JFS0	tr|A0ABV2JFS0|A0ABV2JFS0_9STRE	no	3.4e-30	103.3	0.1	1	1	4.3e-30	103.0	251	280	186	193	0.7410	0.6893	unreviewed	A0ABV2JFS0_9STRE	S-adenosylmethionine hydrolase	ABID28_001259	Streptococcus porcorum	701526	280
A0ABT8X4V2	tr|A0ABT8X4V2|A0ABT8X4V2_9FLAO	no	3.4e-30	103.3	0.6	1	1	3.4e-30	103.3	251	278	185	183	0.7371	0.6583	unreviewed	A0ABT8X4V2_9FLAO	SAM-dependent chlorinase/fluorinase	Q4Q39_14925	Flavivirga amylovorans	870486	278
A0A852TT85	tr|A0A852TT85|A0A852TT85_9ACTN	no	3.4e-30	103.3	0.0	1	1	3.9e-30	103.1	251	277	183	185	0.7291	0.6679	unreviewed	A0A852TT85_9ACTN	SAM-dependent chlorinase/fluorinase	HDA32_000280	Spinactinospora alkalitolerans	687207	277
A0ABV8W5F2	tr|A0ABV8W5F2|A0ABV8W5F2_9FLAO	no	3.4e-30	103.3	0.1	1	1	4.6e-30	102.9	251	275	187	185	0.7450	0.6727	unreviewed	A0ABV8W5F2_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFOY0_09205	Flavobacterium quisquiliarum	1834436	275
A0A1A7R853	tr|A0A1A7R853|A0A1A7R853_9FLAO	no	3.5e-30	103.3	0.7	1	1	4.6e-30	102.9	251	277	185	183	0.7371	0.6606	unreviewed	A0A1A7R853_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	LX77_00722	Gelidibacter algens	49280	277
A0A3S9MYZ9	tr|A0A3S9MYZ9|A0A3S9MYZ9_9FLAO	no	3.5e-30	103.3	0.0	1	1	5.1e-30	102.7	251	278	185	183	0.7371	0.6583	unreviewed	A0A3S9MYZ9_9FLAO	SAM-dependent chlorinase/fluorinase	EJ995_08760	Nonlabens ponticola	2496866	278
A0ABS7Y1S2	tr|A0ABS7Y1S2|A0ABS7Y1S2_9FLAO	no	3.5e-30	103.3	1.0	1	1	4.1e-30	103.1	251	278	185	183	0.7371	0.6583	unreviewed	A0ABS7Y1S2_9FLAO	SAM-dependent chlorinase/fluorinase	LBV24_11640	Winogradskyella vincentii	2877122	278
A0A9P1NKH2	tr|A0A9P1NKH2|A0A9P1NKH2_9PROT	no	3.5e-30	103.3	0.0	1	1	4.9e-30	102.8	251	242	185	175	0.7371	0.7231	unreviewed	A0A9P1NKH2_9PROT	SAM-dependent chlorinase/fluorinase	AZOBR_10223	Azospirillum baldaniorum	1064539	242
A0A1G9JLK3	tr|A0A1G9JLK3|A0A1G9JLK3_9FLAO	no	3.5e-30	103.3	0.7	1	1	4.8e-30	102.8	251	276	189	187	0.7530	0.6775	unreviewed	A0A1G9JLK3_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN04488514_101616	Kriegella aquimaris	192904	276
A0ABW5T633	tr|A0ABW5T633|A0ABW5T633_9FLAO	no	3.5e-30	103.3	1.2	1	1	5e-30	102.8	251	288	185	183	0.7371	0.6354	unreviewed	A0ABW5T633_9FLAO	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	ACFSR8_00700	Hyunsoonleella rubra	1737062	288
